"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Apis.dorsata_PA3_RUN2_GLM","PA3","RUN2","GLM","AUCroc",545.5,77.251,64.575,0.771,0.75,NA
"Apis.dorsata_PA3_RUN2_GAM","PA3","RUN2","GAM","TSS",485,84.307,66.175,0.507,0.461,NA
"Apis.dorsata_PA3_RUN2_GAM","PA3","RUN2","GAM","AUCroc",549.5,77.981,72.3,0.825,0.807,NA
"Apis.dorsata_PA3_RUN2_GBM","PA3","RUN2","GBM","TSS",529,82.603,65.075,0.478,0.396,NA
"Apis.dorsata_PA3_RUN2_GBM","PA3","RUN2","GBM","AUCroc",554.5,77.859,68.925,0.8,0.768,NA
"Apis.dorsata_PA3_RUN2_RF","PA3","RUN2","RF","TSS",340,100,100,1,0.413,NA
"Apis.dorsata_PA3_RUN2_RF","PA3","RUN2","RF","AUCroc",342,100,100,1,0.86,NA
"Apis.dorsata_PA3_RUN2_XGBOOST","PA3","RUN2","XGBOOST","TSS",528,92.457,64.275,0.566,0.444,NA
"Apis.dorsata_PA3_RUN2_XGBOOST","PA3","RUN2","XGBOOST","AUCroc",593.5,79.319,75.9,0.851,0.806,NA
"Apis.dorsata_PA3_RUN2_MAXNET","PA3","RUN2","MAXNET","TSS",434,76.642,72.9,0.496,0.433,NA
"Apis.dorsata_PA3_RUN2_MAXNET","PA3","RUN2","MAXNET","AUCroc",439.5,76.034,73.9,0.826,0.794,NA
"Apis.dorsata_PA3_RUN3_GLM","PA3","RUN3","GLM","TSS",539,77.372,62.75,0.4,0.373,NA
"Apis.dorsata_PA3_RUN3_GLM","PA3","RUN3","GLM","AUCroc",574.5,71.168,68.5,0.77,0.754,NA
"Apis.dorsata_PA3_RUN3_GAM","PA3","RUN3","GAM","TSS",495,84.307,67.475,0.518,0.447,NA
"Apis.dorsata_PA3_RUN3_GAM","PA3","RUN3","GAM","AUCroc",530.5,79.319,70.975,0.827,0.791,NA
"Apis.dorsata_PA3_RUN3_GBM","PA3","RUN3","GBM","TSS",514,85.036,63.4,0.488,0.422,NA
"Apis.dorsata_PA3_RUN3_GBM","PA3","RUN3","GBM","AUCroc",543.5,79.684,68.35,0.808,0.766,NA
"Apis.dorsata_PA3_RUN3_RF","PA3","RUN3","RF","TSS",343,100,100,1,0.333,NA
"Apis.dorsata_PA3_RUN3_RF","PA3","RUN3","RF","AUCroc",340,100,100,1,0.848,NA
"Apis.dorsata_PA3_RUN3_XGBOOST","PA3","RUN3","XGBOOST","TSS",528,89.051,69.525,0.589,0.492,NA
"Apis.dorsata_PA3_RUN3_XGBOOST","PA3","RUN3","XGBOOST","AUCroc",564.5,84.063,73.625,0.864,0.801,NA
"Apis.dorsata_PA3_RUN3_MAXNET","PA3","RUN3","MAXNET","TSS",417,80.292,70.3,0.506,0.437,NA
"Apis.dorsata_PA3_RUN3_MAXNET","PA3","RUN3","MAXNET","AUCroc",424.5,78.832,71.625,0.825,0.798,NA
